,neuron_id,neuron_type,RF_area,RF_center
116,116,e5Rbp4,600.0,[6.5 6. ]
117,117,e5Rbp4,200.0,[5.5 6. ]
118,118,e5Rbp4,600.0,[8.  4.5]
119,119,e5Rbp4,500.0,[7.1 4.3]
120,120,e5Rbp4,,[7.65384615 4.23076923]
121,121,e5Rbp4,400.0,[4.5  5.75]
122,122,e5Rbp4,500.0,[4.5 5.5]
123,123,e5Rbp4,600.0,[7.5 7. ]
124,124,e5Rbp4,200.0,[0.5 5. ]
125,125,e5Rbp4,,[5.36842105 5.63157895]
126,126,e5Rbp4,800.0,[4.625 4.   ]
127,127,e5Rbp4,1100.0,[3.95454545 5.04545455]
128,128,e5Rbp4,400.0,[9. 5.]
129,129,e5Rbp4,2200.0,[3.90909091 6.22727273]
130,130,e5Rbp4,600.0,[11.83333333  9.66666667]
131,131,e5Rbp4,400.0,[12. 10.]
132,132,e5Rbp4,400.0,[1. 2.]
133,133,e5Rbp4,800.0,[5.625 4.625]
134,134,e5Rbp4,300.0,[6.16666667 7.16666667]
135,135,e5Rbp4,1400.0,[3.5        5.14285714]
136,136,e5Rbp4,600.0,[7.66666667 4.66666667]
137,137,e5Rbp4,700.0,[5.21428571 3.92857143]
138,138,e5Rbp4,800.0,[5.625 4.625]
139,139,e5Rbp4,800.0,[9.375 5.25 ]
140,140,e5Rbp4,300.0,[1.16666667 0.83333333]
141,141,e5Rbp4,600.0,[7.5 5. ]
142,142,e5Rbp4,200.0,[5.  6.5]
143,143,e5Rbp4,600.0,[4.66666667 5.33333333]
144,144,e5Rbp4,600.0,[7.5 6. ]
145,145,e5Rbp4,600.0,[3.66666667 5.33333333]
146,146,e5Rbp4,600.0,[6.  5.5]
147,147,e5Rbp4,300.0,[12.16666667 10.16666667]
148,148,e5Rbp4,300.0,[0.83333333 0.83333333]
149,149,e5Rbp4,,[6.43181818 6.11363636]
150,150,e5Rbp4,1000.0,[7.3 6.4]
151,151,e5Rbp4,800.0,[9.  5.5]
152,152,e5Rbp4,500.0,[7.7 4.9]
153,153,e5Rbp4,400.0,[3. 5.]
154,154,e5Rbp4,1900.0,[4.13157895 6.60526316]
155,155,e5Rbp4,1000.0,[8. 5.]
156,156,e5Rbp4,400.0,[9. 5.]
157,157,e5Rbp4,600.0,[6.  4.5]
158,158,e5Rbp4,400.0,[5. 5.]
159,159,e5Rbp4,300.0,[6.83333333 6.83333333]
160,160,e5Rbp4,300.0,[8.83333333 5.83333333]
161,161,e5Rbp4,500.0,[4.7 6.5]
162,162,e5Rbp4,200.0,[4. 5.]
163,163,e5Rbp4,600.0,[6.66666667 5.33333333]
164,164,e5Rbp4,500.0,[5.7 6.1]
165,165,e5Rbp4,400.0,[4. 6.]
166,166,e5Rbp4,900.0,[4.5 6.5]
167,167,e5Rbp4,900.0,[7.16666667 5.94444444]
168,168,e5Rbp4,900.0,[4.83333333 4.61111111]
169,169,e5Rbp4,500.0,[7.3 0.9]
170,170,e5Rbp4,500.0,[8.1 4.7]
171,171,e5Rbp4,400.0,[8. 5.]
172,172,e5Rbp4,800.0,[4.375 5.375]
173,173,e5Rbp4,500.0,[8.7 5.1]
174,174,e5Rbp4,400.0,[4. 6.]
175,175,e5Rbp4,200.0,[8.  4.5]
176,176,e5Rbp4,400.0,[4.  5.5]
177,177,e5Rbp4,600.0,[9.         6.16666667]
178,178,e5Rbp4,500.0,[6.3 5.9]
179,179,e5Rbp4,400.0,[9.25 5.5 ]
180,180,e5Rbp4,500.0,[6.5 5.5]
181,181,e5Rbp4,400.0,[9. 6.]
182,182,e5Rbp4,500.0,[5.7 6.1]
183,183,e5Rbp4,400.0,[7. 5.]
184,184,e5Rbp4,1700.0,[7.5        8.32352941]
185,185,e5Rbp4,500.0,[5.3 6.1]
186,186,e5Rbp4,700.0,[6.21428571 4.5       ]
187,187,e5Rbp4,600.0,[4.5 6. ]
188,188,e5Rbp4,400.0,[4.5  5.75]
189,189,e5Rbp4,500.0,[6.9 4.3]
190,190,e5Rbp4,300.0,[5.83333333 5.16666667]
191,191,e5Rbp4,600.0,[8.5 6. ]
192,192,e5Rbp4,1300.0,[4.88461538 7.57692308]
193,193,e5Rbp4,600.0,[7.33333333 5.66666667]
194,194,e5Rbp4,400.0,[7. 6.]
195,195,e5Rbp4,300.0,[12.16666667 10.16666667]
196,196,e5Rbp4,400.0,[5.25 6.5 ]
197,197,e5Rbp4,700.0,[1.64285714 3.21428571]
198,198,e5Rbp4,400.0,[4. 5.]
199,199,e5Rbp4,300.0,[0.5 6.5]
200,200,e5Rbp4,500.0,[5.3 7.1]
201,201,e5Rbp4,,[7.05  5.625]
202,202,e5Rbp4,400.0,[9. 5.]
