,node_id pop_name max_mean_rate(Hz) preferred_angle OSI DSI Ave_Rate(Hz) firing_rate_sp,firing_rate_white_flash,firing_rate_black_flash,tfs,significant_tfs
1481,1481 e23Cux2 4.827986903629598 135.2236797855144 0.2234495283621266 0.1196714057705257 2.6875000000000004 2.25,,,,
1482,1482 e23Cux2 2.977503657005015 126.34357811779222 0.3815976017726513 0.2537939844970117 1.15 1.0,,,,
1483,1483 e23Cux2 2.3115600416744737 138.06632216250063 0.3246769685318316 0.1803097569868842 0.99375 1.1749999999999998,,,,
1484,1484 e23Cux2 1.827387433027461 129.37175353301902 0.4801516913610442 0.4340938788625847 0.54375 1.325,,,,
1485,1485 e23Cux2 2.326050443359658 144.58248104236668 0.1763261844705422 0.1036665878357356 1.4125 1.5250000000000001,,,,
1486,1486 e23Cux2 2.3772824159831614 128.99974133339882 0.3630803830484888 0.2954779721803889 1.0312499999999998 1.0999999999999999,,,,
1487,1487 e23Cux2 4.127497502639781 133.80023857302902 0.2055946167986704 0.0706703786853037 2.70625 3.0250000000000004,,,,
1488,1488 e23Cux2 2.8766631057472285 133.2047893278105 0.4191836206533686 0.3059646724633227 1.0375 0.775,,,,
1489,1489 e23Cux2 2.944482783822106 122.56547721524625 0.2461348588828288 0.100378459330548 1.43125 1.45,,,,
1490,1490 e23Cux2 1.7740337865189033 130.0607354044925 0.386477832126091 0.1159574226530821 0.8375 0.975,,,,
1491,1491 e23Cux2 3.9361067140582953 136.23773448493966 0.2593938246180891 0.1639191894045464 2.0 2.025,,,,
1492,1492 e23Cux2 3.7449309345392994 126.58828994606463 0.1504671755413948 0.1017532589606583 2.5187500000000003 2.9,,,,
1493,1493 e23Cux2 2.6908755027601003 140.92521101007486 0.2465549474404951 0.12556533919894 1.55625 1.125,,,,
1494,1494 e23Cux2 3.4444806982674807 132.47444355007056 0.2655543715869316 0.1719942323268494 1.7375 1.5500000000000003,,,,
1495,1495 e23Cux2 3.8405317024233865 134.2763189225698 0.2929807804986522 0.1333479519248984 2.0125 1.6249999999999998,,,,
1496,1496 e23Cux2 1.45  0.2573822699689768 0.2437562937224963 0.7625 0.42499999999999993,,,,
1497,1497 e23Cux2 2.7815319068670465 121.76133907861576 0.3599635022892132 0.2782707723091119 1.1375 0.95,,,,
1498,1498 e23Cux2 1.684598469936444 127.42147781166992 0.2806105371905522 0.2825805676535419 0.7625000000000001 0.8250000000000001,,,,
1499,1499 e23Cux2 1.2460566911146536 127.67987953940158 0.5812423321037495 0.395284882065023 0.33125 0.07500000000000001,,,,
1500,1500 e23Cux2 0.9  0.374187285590601 0.3220881112468226 0.38125 0.45,,,,
1501,1501 e23Cux2 2.4  0.3420296241280297 0.1555609562646712 1.10625 0.7000000000000001,,,,
1502,1502 e23Cux2 3.479710495578435 135.26331709168778 0.1960104993646853 0.1519940993485214 1.85625 2.225,,,,
1503,1503 e23Cux2 3.7726575216528446 137.36669340997813 0.2110776210856445 0.117452689765521 2.1125000000000003 1.725,,,,
1504,1504 e23Cux2 11.246726830218195 134.27371289927308 0.0511525830947076 0.0250896311014764 9.79375 7.674999999999999,,,,
1505,1505 e23Cux2 2.980030872698781 126.06149281793014 0.3422221355717211 0.1702159828317585 1.36875 0.9249999999999999,,,,
1506,1506 e23Cux2 2.828075510717944 146.910479536559 0.140746895458887 0.0420515485477257 2.125 1.525,,,,
1507,1507 e23Cux2 3.698882947678707 138.05625468641696 0.2794557471022458 0.1121458784991369 2.075 2.25,,,,
1508,1508 e23Cux2 2.24437773530332 136.3088653908184 0.4333570993958114 0.2826920038194215 0.7937500000000001 0.8999999999999999,,,,
1509,1509 e23Cux2 9.124740691748444 130.96915594971452 0.0931035081168094 0.0304928560702411 7.35 6.0,,,,
1510,1510 e23Cux2 3.033261565898284 132.2333521463067 0.2811794787489153 0.1723047775301294 1.59375 1.475,,,,
1511,1511 e23Cux2 4.5989374257849525 137.4137150040519 0.3538287318296014 0.2109191163768889 1.9 1.375,,,,
1512,1512 e23Cux2 4.523221361722826 145.70800111987387 0.2100248760461621 0.1511443087378832 2.65 2.35,,,,
1513,1513 e23Cux2 3.1127315551249377 139.2576754911165 0.3069112910293828 0.103819568864905 1.59375 1.2,,,,
1514,1514 e23Cux2 2.491046658025075 134.16693659887213 0.361646530597678 0.2418200941188612 1.0375 1.8000000000000003,,,,
1515,1515 e23Cux2 3.0260868238479675 140.56789624060983 0.289146721228421 0.1273702126349733 1.45 1.125,,,,
1516,1516 e23Cux2 3.5742838344084134 138.0769472802239 0.2591940202492518 0.1484422542549063 1.81875 1.425,,,,
1517,1517 e23Cux2 3.907435149774965 132.86152271656545 0.2595943043586342 0.1614661957966902 2.05 2.2,,,,
1518,1518 e23Cux2 1.5068732559538351 138.51940145910223 0.5124524586220484 0.3144098169445976 0.4812499999999999 0.525,,,,
1519,1519 e23Cux2 2.4457959958820883 133.82760141395204 0.350172049155152 0.2461873895207642 1.025 1.3249999999999997,,,,
1520,1520 e23Cux2 3.064690783764387 141.2600404226781 0.4078078282498805 0.204754744430704 1.2625000000000002 1.4000000000000001,,,,
1521,1521 e23Cux2 9.759506639166087 138.1588971759787 0.0708915647124621 0.0356280623879345 8.168750000000001 6.4,,,,
1522,1522 e23Cux2 3.7883896472913614 137.63052995294797 0.2497074694997101 0.1257464871959588 2.00625 1.2249999999999999,,,,
1523,1523 e23Cux2 4.8972216535903295 146.51600080637112 0.2364887667228191 0.0789312557915908 2.98125 2.975,,,,
1524,1524 e23Cux2 1.7640276767009708 132.30464617680357 0.422502592197021 0.1087567300201405 0.7875 0.975,,,,
1525,1525 e23Cux2 1.363632052251818 136.08672184954656 0.420875986551282 0.3980591799152613 0.4625 0.5750000000000001,,,,
1526,1526 e23Cux2 1.4793008289080012 142.7284930286434 0.3365626875363163 0.0989522435897483 0.80625 0.65,,,,
1527,1527 e23Cux2 2.907820672515036 144.72270381528688 0.3352475832343963 0.2716320709300813 1.2625 1.5500000000000003,,,,
1528,1528 e23Cux2 3.4378088906667665 136.83738322341216 0.3610226503114721 0.2239240378546991 1.49375 0.9750000000000001,,,,
1529,1529 e23Cux2 14.953797837431797 145.89043225483823 0.014328845962465 0.0064126734042551 14.6625 18.5,,,,
1530,1530 e23Cux2 2.3730432034966347 140.48595929419898 0.324290787389198 0.1528430112527094 1.225 1.4999999999999998,,,,
1531,1531 e23Cux2 2.966402135639058 137.14926560075295 0.3153446168186973 0.1827400631904607 1.29375 1.475,,,,
1532,1532 e23Cux2 3.052231822514909 141.3994322108577 0.208133259177537 0.1851351714126427 1.4625 1.5,,,,
1533,1533 e23Cux2 2.267397213357972 137.24614598221345 0.4285687765779472 0.266597867321811 0.8374999999999999 0.875,,,,
1534,1534 e23Cux2 2.89223705329194 152.41314095214523 0.3835458747223451 0.2123069593409592 1.03125 0.8,,,,
1535,1535 e23Cux2 2.077088900946392 143.3886739224656 0.4995045697937711 0.2745459927272714 0.7562499999999999 0.9000000000000001,,,,
1536,1536 e23Cux2 2.4783533535445708 138.75581241746818 0.3880464043096907 0.2187350533588141 1.025 0.8,,,,
1537,1537 e23Cux2 2.3333773278906675 132.47520225307846 0.3300472187439363 0.1293156338538268 1.0875 0.95,,,,
1538,1538 e23Cux2 4.620112799682921 143.6917481871541 0.1783685342543927 0.1565966228433655 2.825 2.075,,,,
1539,1539 e23Cux2 2.107748554019006 144.089381193634 0.4444258091488184 0.256481317985323 0.74375 1.0499999999999998,,,,
1540,1540 e23Cux2 2.740436336064699 146.65983595157394 0.4876958296133177 0.3190311439731845 0.9 1.25,,,,
1541,1541 e23Cux2 2.79254961690988 155.25816838819964 0.2282505173635945 0.2194397558904845 1.4375 1.5999999999999999,,,,
1542,1542 e23Cux2 1.657991117660178 146.3430887405174 0.2511898432153745 0.2269859312703455 0.7125000000000001 0.575,,,,
1543,1543 e23Cux2 2.1231953074496044 143.50345610852253 0.264524536140047 0.2405171760244594 1.025 1.025,,,,
1544,1544 e23Cux2 11.338779712634562 136.3086125850676 0.0751326447385852 0.014472994696036 9.6625 2.1,20.52,11.36,68.0,True
1545,1545 e23Cux2 4.417831539845232 142.6210059691046 0.292158670305237 0.1284436536823145 2.325 2.75,,,,
1546,1546 e23Cux2 2.478869679771455 142.01495568664745 0.3466718994895485 0.2420663961391209 1.05 1.675,,,,
1547,1547 e23Cux2 3.5701949040013163 145.85164596461408 0.3218867985971326 0.2223587017165104 1.5000000000000002 1.3,,,,
1548,1548 e23Cux2 3.160245859466183 137.3938223108295 0.3746273868957603 0.1655166738350113 1.40625 1.2,,,,
1549,1549 e23Cux2 2.4941772215336204 146.9146011558015 0.3046038495400857 0.183002801254842 1.2125 0.95,,,,
1550,1550 e23Cux2 11.695978282164855 141.44828725174358 0.0487251146769072 0.0267045418253045 10.0625 8.275,,,,
1551,1551 e23Cux2 1.6629004943230268 144.2459720571517 0.3886134431067269 0.220671444905034 0.65625 0.7249999999999999,,,,
1552,1552 e23Cux2 10.510010579710432 146.28349589881958 0.0407123358915004 0.0173846010171028 9.29375 6.95,,,,
1553,1553 e23Cux2 2.4948861904475974 145.9407039889269 0.4471142036561924 0.2595703149327653 0.9375 1.4,,,,
1554,1554 e23Cux2 2.694040639291237 145.05749523232603 0.3097076058927794 0.2222774344777856 1.2125 1.4249999999999998,,,,
1555,1555 e23Cux2 1.9695824589040205 139.70382438386244 0.3466105723847569 0.2795750926071377 0.7500000000000001 2.275,,,,
1556,1556 e23Cux2 14.7  0.0052790857425656 0.0086827813931986 14.25625 16.725,,,,
1557,1557 e23Cux2 3.874608672332526 147.4112903867431 0.3680078215144162 0.1540753032860728 1.6062500000000002 1.25,,,,
1558,1558 e23Cux2 4.3654903087336185 146.12294999277356 0.2962124052462356 0.0840266490498278 2.41875 2.375,,,,
1559,1559 e23Cux2 2.2251907883513398 142.99840738334802 0.4150489428970997 0.2009843636200236 1.0 1.375,,,,
1560,1560 e23Cux2 3.6966925751539934 151.31931025595418 0.2249828525701842 0.1964702591466002 1.6875 1.5999999999999999,,,,
1561,1561 e23Cux2 3.3419867184002694 146.99324530859212 0.3641730015181805 0.1672506094226065 1.58125 2.3000000000000003,,,,
1562,1562 e23Cux2 2.251707070286692 153.25614582431848 0.3867468093519842 0.0426994275376799 1.225 0.7749999999999999,,,,
1563,1563 e23Cux2 3.42665265527581 145.53491494205355 0.2332349261199255 0.1221389800334489 2.0625 2.2249999999999996,,,,
1564,1564 e23Cux2 4.451281292408614 135.85645838213864 0.2311220779887491 0.2024081630251867 2.3000000000000003 2.925,,,,
1565,1565 e23Cux2 2.3964243009878934 149.30961216698643 0.4078066065841778 0.2111770226309016 0.85 0.6749999999999999,,,,
1566,1566 e23Cux2 15.493903811107009 146.33198325097183 0.0270791282596638 0.0046851036386709 14.4875 12.625,,,,
1567,1567 e23Cux2 2.6988287486719704 142.0891641127118 0.3940364493025246 0.1022286933459706 1.28125 0.825,,,,
1568,1568 e23Cux2 3.20229571178968 147.4762086493026 0.2724136156484175 0.1937079292283657 1.6750000000000005 1.3000000000000003,,,,
1569,1569 e23Cux2 1.5036035012332476 137.96886243635973 0.358530923966753 0.2714629061522705 0.5750000000000001 0.725,,,,
1570,1570 e23Cux2 2.872769389411215 155.53775137369942 0.3565569679616033 0.1235257437611555 1.13125 1.7500000000000002,,,,
1571,1571 e23Cux2 2.1443053325156014 144.2796943582383 0.3250278891282707 0.197388662619839 0.95625 0.95,,,,
1572,1572 e23Cux2 1.1430877695617077 146.81256930167092 0.4578466164232229 0.1800772973897048 0.41875 0.8999999999999999,,,,
1573,1573 e23Cux2 4.266460399394169 146.98319116363305 0.3073978182571288 0.1310125425125801 2.2750000000000004 1.525,,,,
1574,1574 e23Cux2 4.444395419515931 150.23175577805242 0.245778327075286 0.1295006951560273 2.46875 2.2750000000000004,,,,
1575,1575 e23Cux2 1.383959479986714 149.90059904136868 0.6997142273814361 0.3318161141330776 0.3124999999999999 0.32499999999999996,,,,
1576,1576 e23Cux2 2.9758701389371858 143.3320985944368 0.3808472516858316 0.1741946608357702 1.425 2.2750000000000004,,,,
1577,1577 e23Cux2 3.7481901547803447 145.75016309795873 0.1806493365408552 0.0960550288459621 2.4625 2.4499999999999997,,,,
1578,1578 e23Cux2 1.539538522902593 145.260038126032 0.2862991671569341 0.2342119103485564 0.7624999999999998 0.37500000000000006,,,,
1579,1579 e23Cux2 3.315245344986627 153.8965252413109 0.4300981831715862 0.1124409345963502 1.2875 2.65,,,,
1580,1580 e23Cux2 1.891095116243676 142.5089026273632 0.4739666551592473 0.2596897014188322 0.6812499999999999 0.8750000000000001,,,,
1581,1581 e23Cux2 2.373700628685711 154.82567027289383 0.3673844568127484 0.0728651592389801 1.24375 1.425,,,,
1582,1582 e23Cux2 2.262655272698089 147.00365290957944 0.6073369176066027 0.4702765709771045 0.53125 0.35000000000000003,,,,
1583,1583 e23Cux2 3.368367688253423 153.3433264752844 0.4147467937797033 0.1218464857240727 1.6125000000000005 1.8250000000000002,,,,
1584,1584 e23Cux2 2.1120852192016484 137.69270817312804 0.4095780468976971 0.1280322615178727 0.91875 0.75,,,,
1585,1585 e23Cux2 2.3746768699108904 145.47563755151063 0.4406452477283807 0.277331143988104 0.7625000000000001 1.1250000000000002,,,,
1586,1586 e23Cux2 2.377675708995747 149.16447897858384 0.4134491152973614 0.1642807323531902 0.975 2.225,,,,
1587,1587 e23Cux2 2.4931117281032 142.35123142472062 0.4632682874633825 0.1446179414239856 1.0375 1.3499999999999999,,,,
1588,1588 e23Cux2 2.2384670719935147 147.570889398191 0.4947726750741192 0.2167198522099545 0.78125 0.4750000000000001,,,,
1589,1589 e23Cux2 2.454359799262705 148.009700990198 0.3891015291668744 0.0612152661232628 1.2499999999999998 0.975,,,,
1590,1590 e23Cux2 2.6543138084958477 152.52006625831945 0.3175270833826649 0.1951599786717389 1.2625 1.9000000000000001,,,,
1591,1591 e23Cux2 3.0327089932739244 152.8575285538815 0.2920392789937318 0.062437201291897 1.7937500000000002 1.5499999999999998,,,,
1592,1592 e23Cux2 2.5119460346409905 145.27432736459113 0.4767212812579284 0.2576956668143686 0.8624999999999999 1.0999999999999999,,,,
1593,1593 e23Cux2 3.5931699284573075 156.41958939189095 0.3602242092837127 0.1477239083745589 1.3250000000000002 1.7750000000000004,,,,
1594,1594 e23Cux2 5.35039109247004 144.45254679069 0.1478443952173177 0.0490086141244545 3.91875 3.925,,,,
1595,1595 e23Cux2 2.351922379446652 149.9049895529892 0.4214023382763718 0.2559673988759153 0.94375 1.9249999999999998,,,,
1596,1596 e23Cux2 2.143644487128048 159.0747127767565 0.4086654447104591 0.1083706509869896 1.00625 1.5,,,,
1597,1597 e23Cux2 3.2554664253807086 160.8192154107807 0.2268990487096314 0.1451080210641838 1.8375 1.5750000000000002,,,,
1598,1598 e23Cux2 3.434898648221034 155.91808812679534 0.3592007975198845 0.15483393951779 1.26875 1.35,,,,
1599,1599 e23Cux2 3.373813914943937 142.78380590619605 0.1506410024369424 0.133156951318302 2.15625 1.9,,,,
1600,1600 e23Cux2 1.9633861979343603 149.29335111893596 0.5088880562941603 0.1894419273654594 0.7312500000000002 0.725,,,,
1601,1601 e23Cux2 2.5831852460904434 148.29871740042964 0.2661985687499749 0.0676705455059575 1.5750000000000002 1.8750000000000002,,,,
1602,1602 e23Cux2 1.508765452176332 144.38393145825725 0.5913738172169535 0.346482936130126 0.475 0.65,,,,
1603,1603 e23Cux2 1.7820387304716458 160.78498994934264 0.5115166731546344 0.1230589865252796 0.70625 1.05,,,,
1604,1604 e23Cux2 2.867772014297693 151.86517567671385 0.3926160763525436 0.3022666836293068 0.99375 1.5,,,,
1605,1605 e23Cux2 2.0779430931890435 155.69845628699548 0.6368934979345053 0.3479901205257559 0.4812499999999999 0.5249999999999999,,,,
1606,1606 e23Cux2 7.021129350392712 146.68044894400165 0.1136972378726186 0.0369954676456919 5.4 4.475,,,,
1607,1607 e23Cux2 3.1032105174409708 158.80343265729718 0.4218087799094868 0.1774066789713499 1.23125 2.4,,,,
1608,1608 e23Cux2 2.45694570301197 154.93230695365386 0.2961207213611521 0.1726934363210103 1.2625 2.175,,,,
1609,1609 e23Cux2 4.006463341236096 156.88973055942026 0.3677019631818826 0.1212296828506951 2.03125 2.025,,,,
1610,1610 e23Cux2 3.018162600178886 150.7366128965581 0.41202967369241 0.287697777446655 1.08125 1.15,,,,
1611,1611 e23Cux2 1.4247807277020823 150.81375357457412 0.5273755777432247 0.2927665562214088 0.4999999999999999 0.975,,,,
1612,1612 e23Cux2 2.079476672515125 152.59765565577305 0.4085463907521884 0.1553909492362146 0.925 1.2000000000000002,,,,
1613,1613 e23Cux2 5.054395987506738 149.55602470176157 0.1999591836730443 0.0817809763218994 3.09375 2.5749999999999997,,,,
1614,1614 e23Cux2 3.248809178976864 148.63140731229555 0.3691969317337462 0.163101136200991 1.5750000000000002 0.7,,,,
1615,1615 e23Cux2 2.267721468585084 161.8597940956512 0.4551225716657903 0.3383606669779147 0.63125 0.275,,,,
1616,1616 e23Cux2 2.5276154976832803 150.82834727530724 0.3308755425082666 0.1430138292531017 1.2375 1.2,,,,
1617,1617 e23Cux2 2.4623787312315137 159.23946939370225 0.4167037020577593 0.188519022859397 1.1250000000000002 1.05,,,,
1618,1618 e23Cux2 3.793588450010208 158.8489266445449 0.2435534932485034 0.093256571501424 1.7875 2.6249999999999996,,,,
1619,1619 e23Cux2 1.4790533133594437 162.5813773356342 0.3284499162605098 0.21666061428975 0.7124999999999999 1.125,,,,
1620,1620 e23Cux2 1.75749896724079 155.2203447578449 0.3675820970607261 0.3854581274327368 0.675 0.975,,,,
1621,1621 e23Cux2 3.214326552122688 153.0527596373052 0.3658367658422873 0.1600497407649567 1.3875 1.4,,,,
1622,1622 e23Cux2 4.167719661421798 158.94849607403862 0.2102023991310375 0.1344668797251852 2.50625 3.425,,,,
1623,1623 e23Cux2 3.329513209786084 151.38122932595434 0.398518706608445 0.1132134414146907 1.53125 1.5,,,,
1624,1624 e23Cux2 3.4315984541614584 155.27458722687632 0.2848813081965632 0.0757827351685738 1.91875 1.05,,,,
1625,1625 e23Cux2 3.22488725450076 156.68926340540546 0.3907950378888798 0.2609621626744857 1.3375 2.0250000000000004,,,,
1626,1626 e23Cux2 2.9957277931405653 155.1331140481349 0.37482778414706 0.1832952350532792 1.375 1.1,,,,
1627,1627 e23Cux2 1.6312569073201575 153.83262826442038 0.4079444450129595 0.2116850153275846 0.70625 0.925,,,,
1628,1628 e23Cux2 1.6490291758812974 159.60580168452813 0.2845843311066654 0.3002590303643714 0.54375 0.6749999999999999,,,,
1629,1629 e23Cux2 2.230323491658338 160.8534946719108 0.4309508561902976 0.1606324916508746 1.0125 0.9249999999999999,,,,
1630,1630 e23Cux2 3.172678086005785 163.4050283890752 0.3710342573379757 0.2179630260227113 1.2999999999999998 1.475,,,,
1631,1631 e23Cux2 1.7395467053907745 150.09279617633732 0.398474989885984 0.2018418424446064 0.7937500000000001 0.325,,,,
1632,1632 e23Cux2 2.613046051271238 165.03956022975223 0.4609647726013676 0.1704633717817772 1.03125 1.3250000000000002,,,,
1633,1633 e23Cux2 2.6414166670868284 160.04120639216498 0.4685983700488305 0.3380869453564162 0.91875 0.5999999999999999,,,,
1634,1634 e23Cux2 3.7084693842840912 159.22311161820556 0.325092425383894 0.1718050400422981 1.75625 1.8749999999999998,,,,
1635,1635 e23Cux2 4.136199389511438 153.6622084811575 0.2054370135313761 0.0539785470651863 2.7750000000000004 1.1749999999999998,,,,
1636,1636 e23Cux2 1.7037238789556854 162.43552539200394 0.4033892761257771 0.3028361973446183 0.675 0.75,,,,
1637,1637 e23Cux2 2.091490352297237 163.13086344422618 0.5508987564453892 0.6677825555677159 0.4125 0.22499999999999998,,,,
1638,1638 e23Cux2 1.2750183767163683 156.83932073328893 0.29732137494637 0.2290324084550388 0.625 0.45,,,,
1639,1639 e23Cux2 3.771871136502514 155.4981378812553 0.3908877686649824 0.2080047699255614 1.25625 0.7999999999999999,,,,
1640,1640 e23Cux2 1.0323439770010474 160.37851063783864 0.5061974196540308 0.2818297587920855 0.39375 0.8,,,,
1641,1641 e23Cux2 2.978879774522138 161.346437877598 0.3740681140928856 0.1276130737776835 1.1562499999999998 1.2249999999999999,,,,
1642,1642 e23Cux2 2.1217562705836115 159.63571619049816 0.4733484652064638 0.2273926905884754 0.8250000000000001 1.275,,,,
1643,1643 e23Cux2 3.525052524578431 156.934089684301 0.3888570620178738 0.1563877322061197 1.69375 1.6000000000000003,,,,
1644,1644 e23Cux2 2.84551803035993 155.65973052950056 0.3167883644664289 0.1635047846724058 1.3312499999999998 1.55,,,,
1645,1645 e23Cux2 1.8167800086331816 159.236259044474 0.3768148758873081 0.1614330626714314 0.8562500000000001 1.45,,,,
1646,1646 e23Cux2 1.9553059407790332 161.51723118915308 0.437876166501538 0.3462766992352128 0.6875 0.525,,,,
1647,1647 e23Cux2 2.913829809208333 161.9564573857145 0.4161615033000669 0.2880632701055536 0.93125 2.1999999999999997,,,,
1648,1648 e23Cux2 2.596230775886325 155.33205502913034 0.2714703393093185 0.0737066465531883 1.3125 0.7000000000000001,,,,
1649,1649 e23Cux2 3.0602627120653545 169.13321364890865 0.3001658469608153 0.0862047788125169 1.69375 2.25,,,,
1650,1650 e23Cux2 2.6497649106024936 163.6748549681153 0.443533512319839 0.2366329502796356 0.98125 1.275,,,,
1651,1651 e23Cux2 4.8509431271377705 158.48359587153266 0.1961303686277072 0.0974700615918961 3.1125000000000003 1.8749999999999998,,,,
1652,1652 e23Cux2 2.528695941004546 166.73028230365978 0.4950074148663656 0.3280400314594408 0.81875 0.55,,,,
1653,1653 e23Cux2 2.648425392390123 162.03787139844158 0.3237717848642994 0.1339110877192326 1.3937499999999998 1.225,,,,
1654,1654 e23Cux2 3.4860857751412286 156.42694854124107 0.4243049872700322 0.1836710105391833 1.5 1.2999999999999998,,,,
1655,1655 e23Cux2 2.686213050379093 167.2414862763171 0.3334334785461481 0.1449768473057352 1.3 0.925,,,,
1656,1656 e23Cux2 2.539792185551756 160.9605107709744 0.4055488637773356 0.191888731929408 1.1625 1.75,,,,
1657,1657 e23Cux2 3.047455481996846 157.04915518042623 0.4036087214122112 0.2121498727715527 1.25 1.275,,,,
1658,1658 e23Cux2 2.992922558934304 158.3363793878447 0.2975980026647588 0.0764123967270168 1.61875 1.6500000000000001,,,,
1659,1659 e23Cux2 2.727770439388346 165.25523758667686 0.38086085844802 0.1520166944608751 1.33125 1.325,,,,
1660,1660 e23Cux2 1.579060008426913 164.89960769983546 0.5107319330510053 0.2557745578602993 0.5499999999999999 0.7749999999999999,,,,
1661,1661 e23Cux2 2.396366828208554 159.60623468861797 0.5481020698893713 0.1347771239776896 0.71875 0.6,,,,
1662,1662 e23Cux2 3.828732683605337 156.4047286039006 0.2642865120125807 0.1397075627775959 1.925 1.7,,,,
1663,1663 e23Cux2 3.68030577858113 158.16542950206096 0.2920658444031391 0.1752692585055404 1.725 1.175,,,,
1664,1664 e23Cux2 2.0517634974471988 162.32990754339517 0.4236621121696469 0.119148589693444 0.9125 0.7749999999999999,,,,
1665,1665 e23Cux2 4.0689231248775775 168.8615259047085 0.3022866110960488 0.0911523455993956 2.2 1.65,,,,
1666,1666 e23Cux2 2.985652465991016 168.07478499043538 0.4187683683884371 0.1627431262718176 1.25625 1.1,,,,
1667,1667 e23Cux2 1.393441878766332 169.0367780717661 0.4481636549584413 0.2662835885816494 0.575 0.7,,,,
1668,1668 e23Cux2 4.459955770088668 157.5668782153535 0.3453967430980374 0.2319761093803123 1.50625 2.725,,,,
1669,1669 e23Cux2 4.853116624239058 164.1370509578418 0.2956484627437665 0.0567292891763692 2.69375 2.55,,,,
1670,1670 e23Cux2 2.9648405443650634 164.59471715194235 0.3855174806509289 0.0665711463538547 1.5124999999999995 0.8999999999999999,,,,
1671,1671 e23Cux2 2.4608641087011445 160.34697335800456 0.4016189605050238 0.2518873972163924 1.00625 1.5,,,,
1672,1672 e23Cux2 2.762014598697494 159.359724009525 0.3627932243180832 0.2389162908986454 1.2000000000000002 1.15,,,,
1673,1673 e23Cux2 2.87582836246784 168.72074630091356 0.3887391809720764 0.1753105706489161 1.20625 1.6,,,,
1674,1674 e23Cux2 3.5437168514391493 159.92938472032617 0.3275843702760891 0.1062254401958892 1.9250000000000005 1.9250000000000003,,,,
1675,1675 e23Cux2 3.521196751140261 153.991706655125 0.2566278516308867 0.176200921091486 1.4687500000000002 1.15,,,,
1676,1676 e23Cux2 2.1654092304574384 168.19649417852406 0.3894223613975975 0.2651084383155458 0.91875 0.8500000000000001,,,,
1677,1677 e23Cux2 2.537644449161072 173.0964907503166 0.3973358420299512 0.2935023190005717 0.93125 0.95,,,,
1678,1678 e23Cux2 1.940755215159752 165.77720670770518 0.4785655057676612 0.2867076571462414 0.6562500000000001 0.775,,,,
1679,1679 e23Cux2 1.4050324491155095 169.0383590348496 0.4473568872676529 0.3136696914090805 0.49375 0.55,,,,
1680,1680 e23Cux2 2.9215086840729176 176.72245732387174 0.2552138311629254 0.1097845685299936 1.63125 1.6500000000000001,,,,
1681,1681 e23Cux2 2.1261983911108646 168.9264025998293 0.4855524687223456 0.2681092635406755 0.63125 0.35000000000000003,,,,
1682,1682 e23Cux2 3.0795334963343257 163.19687742972067 0.3512199749750062 0.1731924691449175 1.24375 1.5000000000000002,,,,
1683,1683 e23Cux2 2.3193205042735467 167.87731978868595 0.2972807137716483 0.2155619760934991 1.08125 1.55,,,,
1684,1684 e23Cux2 10.96248830315711 159.57966379610423 0.0642508001090608 0.0282714869387107 9.20625 8.05,,,,
1685,1685 e23Cux2 2.962903673902233 168.44171297486693 0.3759187131451871 0.2684379878390799 1.0625000000000002 0.5750000000000001,,,,
1686,1686 e23Cux2 1.57967251746484 170.74701259023783 0.3743523993229938 0.1463286847055344 0.6812500000000001 0.7000000000000001,,,,
1687,1687 e23Cux2 6.335633064898363 169.06533195874576 0.127200655695075 0.0664731071460312 4.68125 4.425,,,,
1688,1688 e23Cux2 3.391839331974189 157.43498635398703 0.4179130806462111 0.1996635083984454 1.1 1.325,,,,
1689,1689 e23Cux2 0.5460921415969752 161.61008088400223 0.6081303192631496 0.4577401563656921 0.1625 0.325,,,,
1690,1690 e23Cux2 2.3517375621427434 170.49326382131358 0.3272752092733676 0.1947406478229819 1.13125 0.875,,,,
1691,1691 e23Cux2 3.013363716248799 163.24036841698813 0.467629715715766 0.1941492602399682 1.09375 1.125,,,,
1692,1692 e23Cux2 2.5945732811218027 163.42011579432804 0.3744190397092505 0.140671308093264 1.1625 1.0999999999999999,,,,
1693,1693 e23Cux2 3.255027330166362 170.6741552516659 0.2483063774830711 0.1568240943694794 1.8 2.125,,,,
1694,1694 e23Cux2 2.923969936815942 167.2082329137973 0.464732537445945 0.2783779387973925 0.975 1.1,,,,
1695,1695 e23Cux2 2.5293274188949755 166.24597045677768 0.305565419664013 0.2230409673694194 1.2 1.6999999999999997,,,,
1696,1696 e23Cux2 2.625978209900186 165.47197221425677 0.4177961658891494 0.2556396584012853 1.0375 1.15,,,,
1697,1697 e23Cux2 2.361212045604575 162.29096907201478 0.4446130777395162 0.1427915770953415 0.925 0.9500000000000001,,,,
1698,1698 e23Cux2 3.544449990782806 161.33653966347953 0.4189292662297613 0.365752091059177 1.0625 0.6499999999999999,,,,
1699,1699 e23Cux2 4.70282009516839 167.15751523741048 0.1899706585239168 0.078444852707543 3.03125 3.3249999999999997,,,,
1700,1700 e23Cux2 1.7012782459331806 165.0776734892994 0.4558949842742191 0.2885816016300879 0.65 0.9500000000000001,,,,
1701,1701 e23Cux2 3.1077940646281155 174.78038997643353 0.366033243176232 0.1871180096337211 1.3562500000000002 1.2249999999999999,,,,
