,node_id pop_name max_mean_rate(Hz) preferred_angle OSI DSI Ave_Rate(Hz) firing_rate_sp,firing_rate_white_flash,firing_rate_black_flash,tfs,significant_tfs
53,53 e5Rbp4 3.7  0.2123201255781368 0.0546369997400393 2.55625 3.325,,,,
54,54 e5Rbp4 4.8  0.1517677419270963 0.0674415581070883 3.54375 3.1,,,,
55,55 e5Rbp4 19.807691509911475 31.15205264430749 0.1013505926635881 0.025574542082672 16.437500000000004 12.799999999999999,,,,
56,56 e5Rbp4 8.2  0.2009619408275965 0.0851302147171155 5.33125 3.9999999999999996,,,,
57,57 e5Rbp4 6.05  0.1469579398791227 0.0884180112848153 4.08125 4.35,,,,
58,58 e5Rbp4 28.629575127030016 29.259957330273465 0.083090652540608 0.015095310158795 23.7125 18.625,4.0,9.6,81.0,True
59,59 e5Rbp4 5.55  0.1554630905548404 0.0323394846304697 4.18125 3.7,,,,
60,60 e5Rbp4 2.6858074446727573 37.21848140353112 0.1732754882284043 0.0793854597439807 1.825 2.375,,,,
61,61 e5Rbp4 8.974497151464108 31.89900769294989 0.1988210147805491 0.0652656720531529 5.468750000000001 4.275,,,,
62,62 e5Rbp4 6.5  0.2328722183531304 0.0933666198522136 3.81875 2.55,,,,
63,63 e5Rbp4 6.634903660808916 32.49005257196732 0.2540235127221836 0.0832890273268385 3.4250000000000003 2.375,,,,
64,64 e5Rbp4 10.420839158618424 29.68156049034736 0.2023072720148577 0.0721492913821271 6.200000000000001 4.5,,,,
65,65 e5Rbp4 6.0  0.1258829871945704 0.0547893365648388 4.6 4.2,,,,
66,66 e5Rbp4 6.184705495941193 32.37881440503894 0.2385824994767457 0.0953521239002501 3.30625 3.1500000000000004,,,,
67,67 e5Rbp4 13.060072956022928 36.9059807664433 0.2508866974332646 0.0899024586047482 7.30625 5.475,,,,
68,68 e5Rbp4 6.641446035136934 34.31685975870638 0.2138921279142983 0.1331705516410975 3.58125 2.0749999999999997,,,,
69,69 e5Rbp4 4.917015874179692 35.64556260318112 0.239138736834446 0.1680750971619649 2.6124999999999994 2.3749999999999996,,,,
70,70 e5Rbp4 5.25  0.2518037850218349 0.1119904323188995 3.1625 2.825,,,,
71,71 e5Rbp4 22.87347824118983 27.787634532167303 0.183363253415844 0.0550502710186024 14.88125 11.3,,,,
72,72 e5Rbp4 5.8  0.18018792701846 0.0750233284534087 3.6 2.5999999999999996,,,,
73,73 e5Rbp4 3.507048039188017 32.131462067729025 0.237837559190637 0.0958917914362031 1.88125 1.8,,,,
74,74 e5Rbp4 10.774646949072135 33.279437193567695 0.0965935425314746 0.0221617443762484 8.975000000000001 7.375,,,,
75,75 e5Rbp4 5.0  0.1679598024631556 0.0484806295581226 3.4125000000000005 2.325,,,,
76,76 e5Rbp4 6.015093053087057 31.753626198625568 0.2815964104015684 0.1292681809818227 2.95 2.125,,,,
77,77 e5Rbp4 3.2  0.1483514855513963 0.0737618654155694 2.1875 2.15,,,,
78,78 e5Rbp4 7.315445108215802 38.72432577039541 0.2225197263648354 0.1581587023839215 3.81875 3.3249999999999997,,,,
79,79 e5Rbp4 6.363112363261939 38.61984585231857 0.2666739572084268 0.1394342657434021 3.1625 1.75,,,,
80,80 e5Rbp4 8.392283606660989 34.5641283096741 0.1669461891413885 0.0500647624198212 5.6875 4.675000000000001,,,,
81,81 e5Rbp4 4.59119459391049 37.398158363561606 0.2111343692034478 0.0997775463118812 2.63125 3.2750000000000004,,,,
82,82 e5Rbp4 4.7  0.1459792376287616 0.04751623764505 3.181250000000001 2.2,,,,
83,83 e5Rbp4 4.071775007451086 44.75010693868568 0.1683378980770345 0.1034798304242629 2.6 3.275,,,,
84,84 e5Rbp4 11.09264150159684 36.17855424564755 0.2772433214773993 0.0458521570079838 6.275 8.825000000000001,,,,
85,85 e5Rbp4 14.854461155206142 41.85319661496368 0.3354045369895043 0.0668629962546759 7.725 4.025,21.88,15.0,32.5,True
86,86 e5Rbp4 12.887232788904608 43.99989346886068 0.3462831211595507 0.1099322971198186 6.249999999999999 5.55,,,,
87,87 e5Rbp4 6.723742773529878 41.62708489791095 0.2016601939929816 0.0669578522677307 4.025 3.4000000000000004,,,,
88,88 e5Rbp4 3.149642886321291 38.56405572418557 0.2523511313846873 0.0944994864096817 1.74375 1.3499999999999999,,,,
89,89 e5Rbp4 6.047514050752286 40.359119237280495 0.2332082701767004 0.072879837207249 3.5250000000000004 2.525,,,,
90,90 e5Rbp4 7.239130705940591 44.16546428265509 0.2440379027610347 0.0917753964913439 3.84375 2.9000000000000004,,,,
91,91 e5Rbp4 6.061924003783773 40.74327991765503 0.2279300717088098 0.1447686671960348 3.2375 2.1500000000000004,,,,
92,92 e5Rbp4 8.585319250845828 46.24651983877384 0.3228851888475215 0.1223334871228452 4.1875 2.875,,,,
93,93 e5Rbp4 4.571011904903765 38.412660864073246 0.1350287419141281 0.0452927660602186 3.36875 2.4999999999999996,,,,
94,94 e5Rbp4 5.839937453264089 44.100968087545205 0.2043621056963037 0.0836402482346283 3.4625 3.075,,,,
95,95 e5Rbp4 6.230863445198962 43.83270686980247 0.2062751331836563 0.0735620957446758 3.7312499999999993 3.15,,,,
96,96 e5Rbp4 16.918708296959938 45.22141544975802 0.2448733413751508 0.050188794541671 10.3625 9.6,,,,
97,97 e5Rbp4 15.877209473701242 44.91996634294254 0.261896514073569 0.0688374785501185 9.06875 5.6499999999999995,,,,
98,98 e5Rbp4 26.361232821066352 47.74688992133081 0.1472743420347611 0.0384271890344606 18.96875 13.825,,,,
99,99 e5Rbp4 10.96589126226205 48.10536228046018 0.2698677664103354 0.1086003764479064 5.8187500000000005 3.25,,,,
100,100 e5Rbp4 3.955409022092076 45.0063606548245 0.2200826334339224 0.0824829747514204 2.44375 2.2750000000000004,,,,
101,101 e5Rbp4 9.28823305468958 49.228876798618295 0.2388384372771076 0.0683142858593264 5.2625 3.3249999999999997,,,,
102,102 e5Rbp4 7.774282321480603 46.87442244845728 0.1868382786791794 0.1175771304004313 4.418749999999999 2.825,,,,
103,103 e5Rbp4 7.1010867333051975 47.25108822588512 0.1931226765517845 0.0518550136067995 4.5125 3.825,,,,
