connection pre post syntype N_90th N_resting mean_90th mean_resting median_90th median_resting std_90th std_resting logn_shape_90th logn_shape_resting logn_scale_90th logn_scale_resting
l6_pyr__to__l4_pyr l6_pyr l4_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__l23_pyr l6_pyr l23_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__all_pyr l6_pyr all_pyr ex 1 1 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__all_int l6_pyr all_int ex 11 11 1.09413308229258 0.40005985432712 1.02532593023721 0.261434950575531 0.731945999696525 0.361401496999167 0.726655020274799 1.15104016491009 0.866823886889366 0.238496598770571
l5_IT_pyr__to__vip l5_IT_pyr vip ex 1 1 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__sst l5_IT_pyr sst ex 24 23 0.911605405911992 0.211815170923664 0.849149797109762 0.059995443276241 0.621641235224036 0.337959918085514 0.64876391826922 8.76328141202123 0.745326897281007 0.006061119656761
l5_IT_pyr__to__pvalb l5_IT_pyr pvalb ex 11 11 0.856384958450985 0.707489425173173 0.772523447800279 0.443224294051153 0.495139938386429 0.453956028536485 0.601362610445899 0.835695951441867 0.721260470069924 0.530582739413002
l5_IT_pyr__to__l6_pyr l5_IT_pyr l6_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__l5_IT_pyr l5_IT_pyr l5_IT_pyr ex 24 24 0.35768079370783 0.240500949834974 0.261638954769633 0.169435613019787 0.259989467079455 0.240040487835591 0.673571820427982 0.918997315547401 0.283629794802136 0.157289106823016
l5_IT_pyr__to__l5_ET_pyr l5_IT_pyr l5_ET_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__l4_pyr l5_IT_pyr l4_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__l23_pyr l5_IT_pyr l23_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__all_pyr l5_IT_pyr all_pyr ex 15 15 0.398887246617355 0.346298271343378 0.242224323842471 0.101932637347735 0.442054951938866 0.551048897574542 0.790012442089576 1.40648982279183 0.27352303289143 0.135945667040606
l5_IT_pyr__to__all_int l5_IT_pyr all_int ex 36 35 0.880355407018391 0.362200102419955 0.798479988078091 0.134377594220779 0.58303747023019 0.442092467673155 0.633988899147015 7.41196564306401 0.724939624811553 0.025670640611897
l5_ET_pyr__to__vip l5_ET_pyr vip ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_ET_pyr__to__sst l5_ET_pyr sst ex 5 5 0.453545739644199 0.051433868326751 0.426803534408707 0.056955901818172 0.255395979889553 0.020557399940075 0.638199233216015 0.506024683787812 0.376123634940524 0.046128798096916
l5_ET_pyr__to__pvalb l5_ET_pyr pvalb ex 4 4 [] [] [] [] [] [] [] [] [] []
l5_ET_pyr__to__l6_pyr l5_ET_pyr l6_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_ET_pyr__to__l5_IT_pyr l5_ET_pyr l5_IT_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_ET_pyr__to__l5_ET_pyr l5_ET_pyr l5_ET_pyr ex 36 34 0.452516255774173 0.376759635697719 0.406741812693833 0.306088210254596 0.289883933076582 0.321235851085303 0.618817078285231 0.791144179948845 0.375865683514314 0.27722593237366
l5_ET_pyr__to__l4_pyr l5_ET_pyr l4_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_ET_pyr__to__l23_pyr l5_ET_pyr l23_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_ET_pyr__to__all_pyr l5_ET_pyr all_pyr ex 32 31 0.463490070877964 0.387937976084133 0.406741812693833 0.30072505607537 0.290444493770002 0.336941587735483 0.607619888956939 0.893367411349732 0.387970667579197 0.27033430297421
l5_ET_pyr__to__all_int l5_ET_pyr all_int ex 9 9 0.722661340297203 0.478242638586841 0.635316995174042 0.075179256653025 0.429418818248369 0.535782450977491 0.717420983190761 1.56690737107258 0.580444213989503 0.17642989864981
l4_pyr__to__vip l4_pyr vip ex 4 4 [] [] [] [] [] [] [] [] [] []
l4_pyr__to__sst l4_pyr sst ex 5 5 0.4618269056409 0.030558878350885 0.350554062731257 0.033077762501549 0.288267011202777 0.026578766253256 0.782272478259984 9.5337294656262 0.357717571790098 0.000145105922744
l4_pyr__to__pvalb l4_pyr pvalb ex 16 16 0.795824005757998 0.623418387569633 0.71264054247184 0.534452637083168 0.428224197363271 0.429247957684745 0.58763063047754 0.854398853769444 0.679980291728296 0.46319306361831
l4_pyr__to__l6_pyr l4_pyr l6_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l4_pyr__to__l5_IT_pyr l4_pyr l5_IT_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l4_pyr__to__l5_ET_pyr l4_pyr l5_ET_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l4_pyr__to__l4_pyr l4_pyr l4_pyr ex 58 58 0.455843660811979 0.360317004294264 0.338614744189476 0.185409373330349 0.338025199638225 0.370239628043816 0.6032438128954 3.22892827209952 0.373073793556046 0.15797141051026
l4_pyr__to__l23_pyr l4_pyr l23_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l4_pyr__to__all_pyr l4_pyr all_pyr ex 28 28 0.42136838570849 0.315122113336528 0.32086415284168 0.186033316600847 0.312096086195656 0.34399669165914 0.608249525511695 0.88893254845294 0.344252143477436 0.205099124503693
l4_pyr__to__all_int l4_pyr all_int ex 31 31 0.798978279661642 0.560131583117136 0.643966876836002 0.442896694220658 0.566072340048502 0.490410158140352 0.716251394937982 4.91701904547552 0.628145157821515 0.134654230216326
